input_text,label
A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.  <SEP> A sheep house with sheep grazing in front of it. <SEP> 0,0
A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.  <SEP> A man is standing in front of a television that is turned on. He is holding a white remote in his hand. There is a large window on the wall behind the man.  <SEP> 0,1
A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.  <SEP> Man holding white wii remote in his hands. <SEP> 0,0
There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men. <SEP> A man is riding his bike down a street. He is wearing a black jacket and blue jeans. There is a large white building behind the man.  <SEP> 0,1
"There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men. <SEP> Two cyclists are riding on a bike lane next to a green fire hydrant. In the background, there are several cars driving on the street. <SEP> 0",0
"TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT. <SEP> This is an image of some items. The items in the middle of the image are items for sale. There are many different types of items on the market. Some of them are silver, some are gold and some others are black and white. <SEP> 0",1
TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT. <SEP> Three cell phones and a knife are on a table. <SEP> 0,0
"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face. <SEP> A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man.  <SEP> 0",1
"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face. <SEP> Black top hat on mannequin head next to a clock. <SEP> 0",0
"A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.  <SEP> This is an image of a train station. The train is yellow and blue. There is a large window on the side of the train. It is daytime and the sky is partly cloudy. On the left side, there are two train cars. <SEP> 0",1
A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.  <SEP> A yellow and white train is at a train station. <SEP> 0,0
A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree. <SEP> There are two elephants in a field. One of the elephants is a baby. The other elephant is an adult. There are trees in the field behind them.  <SEP> 0,1
A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree. <SEP> A man is sitting on an elephant in a river. <SEP> 0,0
There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate.  <SEP> A white plate is sitting on a table. There is a white napkin on the table behind the plate. On the left side of the picture there are two slices of pizza. The pizza has tomatoes and cheese on top of it.  <SEP> 0,1
"There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate.  <SEP> A plate of food with a fork and a glass of water. The plate has a tomato, broccoli, green beans, and mashed potatoes. <SEP> 0",0
A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass. <SEP> This is an image of some animals. The animals are cows. There is a cow in the middle of the photo that is black and white and has white on it's head. It is standing on a dirt field that has green grass on the <SEP> 0,1
A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass. <SEP> A white cow with black horns is standing in a green field. <SEP> 0,0
A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts. <SEP> A man is skateboarding outside on a sunny day. He is wearing a black shirt and blue jeans. There are trees behind the man.  <SEP> 0,1
A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts. <SEP> A person is skateboarding down a sidewalk with a dog on a leash. <SEP> 0,0
"There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow. <SEP> This is an image of a train station. The train is blue and white. There is a large window on the side of the train. It is daytime and the sun is shining very brightly. On the left side, there are many windows. <SEP> 0",1
There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow. <SEP> Blue portable toilets are lined up in front of a railroad track. In the background are two trains and some trees. <SEP> 0,0
A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile.  <SEP> This is a bathroom. The bathroom is very clean. There are two white towels hanging on the wall. One of the towels is white and the other is red.  <SEP> 0,1
A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile.  <SEP> A small bathroom with a frosted glass door. <SEP> 0,0
A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on.  <SEP> A man is surfing on a wave. He is wearing a black wet suit. The surfboard is white. There are waves in the water behind the man.  <SEP> 0,1
A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on.  <SEP> Surfer riding a wave in the ocean. <SEP> 0,0
A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners. <SEP> This is a picture of some food. The food is on a white plate. There is broccoli and some meat on top of it. Some of the meat is brown on the outside and brown inside. A knife is under the plate and a fork <SEP> 0,1
A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners. <SEP> A pizza sits on a pizza stone on top of a stove. <SEP> 0,0
a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing. <SEP> This is an image of a street. The street is gray and made of brick. There is a fire hydrant on the right side of the photo. It is lit up with a red and white fire hose that is attached to the hose. <SEP> 0,1
a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing. <SEP> A red fire hydrant in front of three closed storage units. <SEP> 0,0
there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes.  <SEP> This is an image of a large body of water. The water is calm and blue. There are small waves in the water that are crashing down on the land. Some of the waves have white foam on them. A person is standing on a <SEP> 0,1
there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes.  <SEP> A group of six red planes fly across the sky. <SEP> 0,0
There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane.  <SEP> There is a plane in the sky. The plane is white and blue. There is writing on the side of the plane.  <SEP> 0,1
There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane.  <SEP> A large white and blue airplane is landing at an airport. The plane is in the foreground and the airport is in the background. The plane is landing on the runway and the airport is surrounded by a fence. <SEP> 0,0
"A young lady is having a very fun time by herself. This young lady has on very short jean shorts, a turquoise top and some shades on. She is surfing a fake wave on a plastic board and having so much fun.
 <SEP> A woman is standing on a beach. She is wearing a blue shirt and blue shorts. There is a large wave in the water behind her.  <SEP> 0",1
"A young lady is having a very fun time by herself. This young lady has on very short jean shorts, a turquoise top and some shades on. She is surfing a fake wave on a plastic board and having so much fun.
 <SEP> A blonde girl in blue jean shorts and green shirt is surfing on a blue inflatable wave. <SEP> 0",0
"A man is jumping in the air. The man is holding a green frisbee in his hand. There are trees behind the man.  <SEP> A man is playing soccer on a grassy field. He is wearing a blue shirt, blue shorts, and white socks. There is a yellow and black net in front of the man.  <SEP> 0",1
A man is jumping in the air. The man is holding a green frisbee in his hand. There are trees behind the man.  <SEP> A man is jumping in the air to catch a frisbee. <SEP> 0,0
A tennis player has just forehand swung to hit a ball. The player has on a light blue shirt and headband. He has on brown nike shorts and white shoes. <SEP> A woman is standing on a tennis court playing tennis. She is wearing a white shirt and white shorts. A green tennis ball is soaring in the air in front of her. There is a green fence behind the woman.  <SEP> 0,1
A tennis player has just forehand swung to hit a ball. The player has on a light blue shirt and headband. He has on brown nike shorts and white shoes. <SEP> Tennis player in blue shirt and shorts is hitting a tennis ball with racquet. <SEP> 0,0
"There is a vase on a table.  The vase has a white enamel base and three flower holders.  In the vase is an assortment of artificial fall colored leaves and berries.  The colors depicted are different shades of orange.  The table appears to be in the backyard of a house.  Behind the vase is a picket fence, a sidewalk, some monkey grass, and some pink flowers.  On the other side of the fence the eaves of the neighboring house are seen.  <SEP> This is a picture of some flowers. The flowers are very vibrant and pretty. There are some leaves on some of the flowers that are yellow and green. Some of them are green and some are red. A bunch of leaves are scattered all over <SEP> 0",1
"There is a vase on a table.  The vase has a white enamel base and three flower holders.  In the vase is an assortment of artificial fall colored leaves and berries.  The colors depicted are different shades of orange.  The table appears to be in the backyard of a house.  Behind the vase is a picket fence, a sidewalk, some monkey grass, and some pink flowers.  On the other side of the fence the eaves of the neighboring house are seen.  <SEP> A vase of flowers sits on a table outside. The flowers are orange, yellow, and red. There are also some berries and leaves. The background is a wooden fence and a house. <SEP> 0",0
A person is standing on the beach. They are flying a large yellow and red kite. There are small waves in the water. The person is wearing a black wet suit.  <SEP> There is a large body of water in the distance. There are two people on the beach. One of the people is wearing a blue shirt and blue shorts. The other person is carrying a surfboard.  <SEP> 0,1
"A person is standing on the beach. They are flying a large yellow and red kite. There are small waves in the water. The person is wearing a black wet suit.  <SEP> Long, thin kite with red and yellow colors flying in blue sky over sandy beach. Person in wetsuit is walking on beach. <SEP> 0",0
"A white plate of food. There is rice under a pile of broccoli. There are onions cut up on top of the broccoli.  <SEP> This is a picture of some food. The food looks to be very healthy-looking. There is broccoli and cauliflower on the right side of the photo, and some brown rice and other veggies in the middle of it. <SEP> 0",1
"A white plate of food. There is rice under a pile of broccoli. There are onions cut up on top of the broccoli.  <SEP> A bowl of food that includes rice, broccoli, and ground beef. <SEP> 0",0
"A stop sign is on a piece of wood and attached to a round sign that is white, with a red border around the outside. Below the stop sign there are two signs in Russian. The signs are attached to a rusty metal fence.  <SEP> This is an image of a street. The street is very busy. There is a bus going down the side of the street that is white and blue. It is going across a busy city street with a lot of cars on it. You can <SEP> 0",1
"A stop sign is on a piece of wood and attached to a round sign that is white, with a red border around the outside. Below the stop sign there are two signs in Russian. The signs are attached to a rusty metal fence.  <SEP> A stop sign is mounted on a post. The top of the sign is a standard stop sign. Below the standard stop sign is a sign that says ""STOP"" in Russian. <SEP> 0",0
a man is playing tennis. he is wearing  a sweatband in his hair. his hair is brown in color. his hair is very long. his uniform is white. he is also wearing white shorts. <SEP> A man is standing on a tennis court playing tennis. He is wearing a blue shirt and white shorts. A green tennis ball is soaring in the air towards the man. There is a green net in front of the court.  <SEP> 0,1
a man is playing tennis. he is wearing  a sweatband in his hair. his hair is brown in color. his hair is very long. his uniform is white. he is also wearing white shorts. <SEP> A tennis player is holding his racket and looks upset. <SEP> 0,0
Four sailboats with masts but no sails are lined up along the shore of a lake.  A hill rises beyond them in the sun.  Part of the hill is bare rock and dirt and part has low green bushes.  The sky is very blue beyond the hill.  <SEP> This is an image of a beach. There is a large body of water with a few small waves in it. The water is calm and has a couple of small ripples. In the distance you can see a small boat dock. You can <SEP> 0,1
Four sailboats with masts but no sails are lined up along the shore of a lake.  A hill rises beyond them in the sun.  Part of the hill is bare rock and dirt and part has low green bushes.  The sky is very blue beyond the hill.  <SEP> Sailboats are docked in a harbor near a rocky shore. <SEP> 0,0
"A man is standing outside flying a black and white kite. He is wearing a white hat on his head, a suit coat, and dark colored pants. A shadow of the man can be seen beside him on the ground. The sky is clear and blue. Tall trees are seen below the sky.  <SEP> A large white airplane is flying in the sky. There is a large body of water behind the airplane.  <SEP> 0",1
"A man is standing outside flying a black and white kite. He is wearing a white hat on his head, a suit coat, and dark colored pants. A shadow of the man can be seen beside him on the ground. The sky is clear and blue. Tall trees are seen below the sky.  <SEP> A man is flying a kite in a park. <SEP> 0",0
Five off white sheep are standing on a rocky grassy hill. The stones are medium sized and are grey and white. Beyond the sheep is a bright blue body of water and a set of beautiful grass covered mountains and a blue sky. <SEP> A herd of sheep are grazing in a field. The field is covered in grass and weeds. There is a large body of water behind the sheep.  <SEP> 0,1
Five off white sheep are standing on a rocky grassy hill. The stones are medium sized and are grey and white. Beyond the sheep is a bright blue body of water and a set of beautiful grass covered mountains and a blue sky. <SEP> Four sheep are standing on a grassy hilltop overlooking a lake. <SEP> 0,0
A large white truck sits in a parking space in a small parking lot. The trailer of the truck has a cover on it. On the other side of the parking lot are a few more cars. The other cars are parked next to a building that looks to be made of brick. There are a few bare plants in the front of the building. <SEP> A white and blue truck is parked on the side of the street. There is a large white building behind the truck.  <SEP> 0,1
"A large white truck sits in a parking space in a small parking lot. The trailer of the truck has a cover on it. On the other side of the parking lot are a few more cars. The other cars are parked next to a building that looks to be made of brick. There are a few bare plants in the front of the building. <SEP> A Chevrolet pickup truck is parked in a parking lot. The truck is silver and has a black tonneau cover on the bed. The license plate is from Texas and says ""238N414"". <SEP> 0",0
there is a big yellow sign. the sign is a warning sign. the sign is shaped like a diamond. there is a light above the sign. <SEP> This is an image of a street. The street is gray and has white lines painted on it. There is a car parked on the side of the street that is black and white. It is parked in a parking lot with a lot of cars <SEP> 0,1
there is a big yellow sign. the sign is a warning sign. the sign is shaped like a diamond. there is a light above the sign. <SEP> A yellow diamond shaped sign with the word bumps in black letters is in front of a street light. The street light is lit by four large round lights. <SEP> 0,0
"An image of a peeled large banana dominates the picture. Three men are walking down the street.  The man in the front is by himself while two other men are in close proximity.  Two buses are parked along the side of the street. <SEP> This is a picture of some food. The food is all different types of fruit and vegetables. There are apples, oranges, pears, bananas and some other fruits. Some of the apples are yellow and others are black and white.  <SEP> 0",1
An image of a peeled large banana dominates the picture. Three men are walking down the street.  The man in the front is by himself while two other men are in close proximity.  Two buses are parked along the side of the street. <SEP> A close up of a banana peel with the stem of the banana in the foreground. In the background is a red double decker bus and a man walking. <SEP> 0,0
"the scene takes place outdoors in a winter snowy landscape, three persons and a child are interacting. A man is leading a child into the ski lift provider. they are standing by the entrance about to enter, a man in a green jacket seems to the entrance attendant. a building with woodside panelling is above the people. a man is standing in the foreground, wearing an orange jacket. the ground is filled with snow, the people are wearing winter clothes. there are signs above the man and child.  <SEP> A group of people are standing around a fire hydrant. There is a man in a blue shirt standing in front of them.  <SEP> 0",1
"the scene takes place outdoors in a winter snowy landscape, three persons and a child are interacting. A man is leading a child into the ski lift provider. they are standing by the entrance about to enter, a man in a green jacket seems to the entrance attendant. a building with woodside panelling is above the people. a man is standing in the foreground, wearing an orange jacket. the ground is filled with snow, the people are wearing winter clothes. there are signs above the man and child.  <SEP> People waiting to get on a lift at a ski resort. <SEP> 0",0
A large white cow is grazing in the grass. The cow is in a field with weeds and grass. There are trees behind the cow.  <SEP> This is an image of some animals. The animals are cows. There is a cow in the middle of the photo. It is black and white and has a white head on it's back.  The cow is standing on a dirt field. <SEP> 0,1
A large white cow is grazing in the grass. The cow is in a field with weeds and grass. There are trees behind the cow.  <SEP> A white cow is grazing in a field of dry grass. <SEP> 0,0
there is a big mountain. there are a lot of trees on the mountain. there are two girls walking along the trail. the trail is made of dirt. they are holding umbrellas in their hands. <SEP> This is an image of a city street. There is a man walking on the sidewalk. The man is wearing a black jacket and gray pants. He is holding a red and black umbrella over his head.  <SEP> 0,1
there is a big mountain. there are a lot of trees on the mountain. there are two girls walking along the trail. the trail is made of dirt. they are holding umbrellas in their hands. <SEP> A woman in a blue dress walks along a road in the mountains. <SEP> 0,0
"There is a large strip of grass along a road, with buildings, people, buses, trees and flags. The grass is very green and has something more overgrown like bushes that run along the road. The strip of road that is showing to the right of the picture is black. There are two large buses on the road. One bus is red with yellow words on it and the other is black. There are people in both buses, and along the grass and road. There are large trees running by the roads and buildings in the middle and back of the picture. There are two buildings showing. One building is on a street corner and is white with many stories. The other is to the left and is grey with many stories. There are two flag poles and one of them has a flag hanging on it. <SEP> This is an image of a city street. The street is very busy. There is a bus going down the side of the road. It is dark out and the bus is white with red and blue letters on it. You can see trees on <SEP> 0",1
"There is a large strip of grass along a road, with buildings, people, buses, trees and flags. The grass is very green and has something more overgrown like bushes that run along the road. The strip of road that is showing to the right of the picture is black. There are two large buses on the road. One bus is red with yellow words on it and the other is black. There are people in both buses, and along the grass and road. There are large trees running by the roads and buildings in the middle and back of the picture. There are two buildings showing. One building is on a street corner and is white with many stories. The other is to the left and is grey with many stories. There are two flag poles and one of them has a flag hanging on it. <SEP> A double decker bus is driving down a street. <SEP> 0",0
A menu is see hanging on the wall. The menu is over the kitchen area. There is a range top that has a couple of things on it. On the counter is some fish and chicken.  <SEP> A man is sitting at a table in a restaurant. He is wearing a white shirt and gray pants. There is a glass of water in front of the man.  <SEP> 0,1
"A menu is see hanging on the wall. The menu is over the kitchen area. There is a range top that has a couple of things on it. On the counter is some fish and chicken.  <SEP> A sign on a wall that says ""Fish gives you brains, with brains you can make money, money can buy you more fish"" is on the wall. <SEP> 0",0
An elephant relaxes in the water. A man lays on the back of the elephant. A few other men stand around the elephant and look at it. The water is a brown color. The men are all wearing swim trunks. The sun is reflecting on the water. <SEP> A man is standing on a beach. He is wearing a blue shirt and blue shorts. There is a large body of water behind the man.  <SEP> 0,1
An elephant relaxes in the water. A man lays on the back of the elephant. A few other men stand around the elephant and look at it. The water is a brown color. The men are all wearing swim trunks. The sun is reflecting on the water. <SEP> Three men are bathing an elephant in a river. <SEP> 0,0
a boy is playing frisbee. the frisbee is white in color. the shorts are red in color. his shirt is black and red. he is wearing white shoes. <SEP> A man is playing soccer on a field. He is wearing a blue shirt and blue shorts. There is a yellow and black soccer ball in front of the man.  <SEP> 0,1
a boy is playing frisbee. the frisbee is white in color. the shorts are red in color. his shirt is black and red. he is wearing white shoes. <SEP> A young man is playing frisbee in the rain. <SEP> 0,0
A bunch of planes are in formation in the air. One plane is way farther away from the rest. The sky is a pretty blue color and a couple of clouds are seen. <SEP> This is an image of a large body of water. The water is calm and clear. There are small waves in the water that are crashing down on the land. Some of the waves are white and some are blue. In the distance you can <SEP> 0,1
A bunch of planes are in formation in the air. One plane is way farther away from the rest. The sky is a pretty blue color and a couple of clouds are seen. <SEP> A plane flies above a forest. <SEP> 0,0
A person with a black shirt on is jumping on a skateboard. There is a boy in a red jacket standing in front of him. There is a black fence behind the people.  <SEP> A man is skateboarding outside on a sunny day. He is wearing a black shirt and blue jeans. The man has short black hair that is pulled back in a pony tail. There is a large body of water behind the man.  <SEP> 0,1
A person with a black shirt on is jumping on a skateboard. There is a boy in a red jacket standing in front of him. There is a black fence behind the people.  <SEP> Skateboarder in mid air. <SEP> 0,0
There are many boats in the water. There are small waves in the water around the boats. There is a bird flying in the air above the water. There is a hill on the other side of the water.  <SEP> This is an image of a plane. The plane is flying in the sky. There is a large body of water behind the plane that has small waves in it.  <SEP> 0,1
There are many boats in the water. There are small waves in the water around the boats. There is a bird flying in the air above the water. There is a hill on the other side of the water.  <SEP> A seagull is flying over a body of water with several boats in the water. <SEP> 0,0
"In this image, a downtown business district in an English speaking country is depicted. The image shows a narrow street with sidewalks on both sides, with customers walking up and down the sidewalks and going in and out of stores. The narrow street does not have any cars driving down it, but instead there is a train or streetcar running on rails. The train is white on the top and red on the bottom with a large glass windshield in front and smaller glass windows on the sides. It is coming up to an intersection. At the intersection, there is a sign that indicates only bicycles are allowed on the cross street. All the people in the picture are wearing lightweight jackets, so it must be fall or spring, as there is no snow or rain. There is a store called Dreams, and a sign advertising beds, though it is difficult to tell if they are beds for sale or rooms for rent. If I had to guess, I'd say this is an English speaking country in Europe.  <SEP> A bus is driving down the street. There is a large white building behind the bus. The sky above is blue with white clouds.  <SEP> 0",1
"In this image, a downtown business district in an English speaking country is depicted. The image shows a narrow street with sidewalks on both sides, with customers walking up and down the sidewalks and going in and out of stores. The narrow street does not have any cars driving down it, but instead there is a train or streetcar running on rails. The train is white on the top and red on the bottom with a large glass windshield in front and smaller glass windows on the sides. It is coming up to an intersection. At the intersection, there is a sign that indicates only bicycles are allowed on the cross street. All the people in the picture are wearing lightweight jackets, so it must be fall or spring, as there is no snow or rain. There is a store called Dreams, and a sign advertising beds, though it is difficult to tell if they are beds for sale or rooms for rent. If I had to guess, I'd say this is an English speaking country in Europe.  <SEP> A red and white tram is on the street in front of a building. <SEP> 0",0
"A bus is on the street. It is currently getting ready to pick some people up and drop some off. The bus is white, purple, and red on the top. The building has a lot of moss on it. <SEP> This is an image of a city street. The street is very busy with traffic. There is a bus going down the side of the street that is white and red. It is traveling at a very high speed and there are many cars on the <SEP> 0",1
"A bus is on the street. It is currently getting ready to pick some people up and drop some off. The bus is white, purple, and red on the top. The building has a lot of moss on it. <SEP> A bus is on the street in front of a building. <SEP> 0",0
A young boy is walking with a horse. The young boy has on a black sweater with a blue shirt tied around his waist. The horse is a dark brown color and looks very friendly. <SEP> This is an image of a horse. The horse is brown and white. There is a man standing behind the man. He is wearing a white shirt and a black hat on his head.  <SEP> 0,1
A young boy is walking with a horse. The young boy has on a black sweater with a blue shirt tied around his waist. The horse is a dark brown color and looks very friendly. <SEP> A boy with a foal walking in a dirt field. The boy is wearing a brown sweater and a blue jacket. The foal is brown and white. The boy is walking in front of the foal. The foal is walking next to the boy. The boy is smiling. The foal is looking at the boy. The boy is happy. The foal is happy. The boy is walking in a dirt field. The boy is walking in front of the foal. The foal is walking next to the boy. The boy is smiling. The foal is looking at the boy. The boy is happy. The foal is happy. <SEP> 0,0
a sign is on a pole. the pole is green in color. there is an arrow on the sign. the arrow is white in color. there is writing on the sign. <SEP> This is an image of a street. The street is gray and has white lines painted on it. There is a white car parked on the side of the street with a black license plate on top of it and a red and white sign attached to <SEP> 0,1
"a sign is on a pole. the pole is green in color. there is an arrow on the sign. the arrow is white in color. there is writing on the sign. <SEP> A green sign with the number 710 on it is above a street sign that says ""downtown"" in white letters. <SEP> 0",0
A vintage pick-up truck is parked at the sidewalk. The truck is beige with black roof. At the sidewalk is a black parking meter. The parking meter is attached to silver pole with blue painted letters on it. <SEP> A white truck is parked on the side of a street. There is a large white building behind the truck.  <SEP> 0,1
A vintage pick-up truck is parked at the sidewalk. The truck is beige with black roof. At the sidewalk is a black parking meter. The parking meter is attached to silver pole with blue painted letters on it. <SEP> A vintage beige pickup truck is parked at a parking meter. <SEP> 0,0
A man wearing striped swim shorts is standing on sand. There is also a black and white dog standing on the sand. There is a white frisbee in the air above the sand.  <SEP> A man is standing on a beach. He is wearing a blue shirt and blue shorts. There is a large body of water behind the man.  <SEP> 0,1
A man wearing striped swim shorts is standing on sand. There is also a black and white dog standing on the sand. There is a white frisbee in the air above the sand.  <SEP> Man and dog are running on beach. <SEP> 0,0
There are plates and bowls on top of a table. The table is wooden and there are small bowls in the middle. There is food on the plates. There are knives and forks on top of the plate.  <SEP> A white plate is sitting on a table. There is a white napkin on the table next to the plate. On the left side of the picture there are two glasses of water. The table is made of wood.  <SEP> 0,1
There are plates and bowls on top of a table. The table is wooden and there are small bowls in the middle. There is food on the plates. There are knives and forks on top of the plate.  <SEP> A round wooden table with several plates of food on it. There are two forks and two knives on the table. One plate has a piece of pie on it. Another plate has a salad on it. There are several bowls of food on the table. <SEP> 0,0
A group of people have gather around the skateboarding ramp to watch other skateboarder's skate on it. There is one person in the ramp. It looks like that person fell down off of their board. <SEP> A man in a blue shirt and blue shorts is standing on a skateboard in the middle of a grassy field. The man is wearing a black helmet on his head. There is a large body of water behind the man.  <SEP> 0,1
A group of people have gather around the skateboarding ramp to watch other skateboarder's skate on it. There is one person in the ramp. It looks like that person fell down off of their board. <SEP> A skateboarder is doing a trick in front of a crowd. <SEP> 0,0
a bunch of donuts are being displayed. the top row of donuts are all glazed types. there is a person waiting in a grey shirt. <SEP> This is a picture of some food. The food looks to be very healthy-looking. There are some donuts on the table. One of the donut's is brown and green. It is sitting on top of a white plate. Two <SEP> 0,1
a bunch of donuts are being displayed. the top row of donuts are all glazed types. there is a person waiting in a grey shirt. <SEP> A variety of donuts and pastries are displayed on a long shelf in a bakery. <SEP> 0,0
A bag of potato chips is sitting on a couple of tan napkins on an oval plate. There are two half sandwiches on the plate with the chips. The sandwiches have black grill marks on the tops. There is a yellow mug on the table next to the plate. <SEP> This is a picture of some food. The food is on a white plate. There is some brown rice and some green beans on top of the rice. On the right side there are some pieces of meat and a fork with a knife and fork <SEP> 0,1
A bag of potato chips is sitting on a couple of tan napkins on an oval plate. There are two half sandwiches on the plate with the chips. The sandwiches have black grill marks on the tops. There is a yellow mug on the table next to the plate. <SEP> A sandwich and a bag of potato chips on a plate. <SEP> 0,0
